iter	Passed	Remaining
675	41780	20024
676	41842	19963
677	41906	19902
678	41962	19837
679	42026	19776
680	42089	19715
681	42158	19657
682	42229	19599
683	42287	19536
684	42349	19474
685	42413	19413
686	42472	19350
687	42536	19289
688	42588	19223
689	42650	19161
690	42708	19098
691	42764	19034
692	42822	18970
693	42883	18908
694	42947	18847
695	43002	18782
696	43062	18719
697	43119	18656
698	43178	18593
699	43239	18531
700	43303	18470
701	43367	18409
702	43421	18344
703	43478	18280
704	43543	18220
705	43604	18158
706	43668	18097
707	43727	18034
708	43784	17970
709	43850	17910
710	43908	17847
711	43967	17784
712	44026	17721
713	44084	17658
714	44149	17598
715	44208	17535
716	44272	17474
717	44334	17412
718	44392	17349
719	44459	17289
720	44515	17225
721	44573	17162
722	44645	17104
723	44703	17041
724	44765	16980
725	44823	16916
726	44880	16853
727	44944	16792
728	45007	16731
729	45073	16671
730	45141	16611
731	45199	16548
732	45255	16484
733	45322	16424
734	45385	16363
735	45444	16300
736	45506	16239
737	45567	16177
738	45629	16115
739	45691	16053
740	45753	15991
741	45819	15931
742	45880	15869
743	45947	15809
744	46014	15750
745	46080	15689
746	46141	15627
747	46199	15564
748	46271	15506
749	46350	15450
750	46420	15391
751	46483	15329
752	46546	15268
753	46610	15207
754	46678	15147
755	46743	15086
756	46803	15023
757	46868	14963
758	46927	14900
759	46988	14838
760	47052	14777
761	47113	14715
762	47178	14654
763	47240	14592
764	47299	14530
765	47358	14467
766	47417	14404
767	47473	14341
768	47531	14277
769	47587	14214
770	47645	14151
771	47703	14088
772	47758	14024
773	47817	13962
774	47883	13901
775	47948	13840
776	48003	13777
777	48061	13714
778	48126	13653
779	48181	13589
780	48245	13528
781	48302	13465
782	48363	13403
783	48419	13340
784	48491	13281
785	48552	13219
786	48610	13156
787	48672	13094
788	48729	13031
789	48790	12969
790	48854	12908
791	48912	12845
792	48971	12783
793	49034	12721
794	49101	12661
795	49167	12600
796	49226	12538
797	49292	12477
798	49351	12415
799	49410	12352
800	49465	12289
801	49529	12228
802	49589	12165
803	49650	12103
804	49713	12042
805	49770	11979
806	49827	11916
807	49889	11854
808	49955	11794
809	50018	11732
810	50077	11670
811	50158	11613
812	50226	11552
813	50297	11493
814	50365	11432
815	50434	11372
816	50505	11312
817	50567	11250
818	50625	11188
